activity_id,campaign_id,person_id,activity_type,timestamp,detail
1,1.0,3232.0,email_open,01-08-2024 12:54,Firefox
2,13.0,4953.0,,2024-01-25 12:15:00,tracking lost
3,9.0,4210.0,email_click,10/01/2024 13:55,unknown
4,4.0,4230.0,web-visit,01-18-2024 16:09,
5,7.0,4655.0,,01-10-2024 08:27,
6,15.0,3032.0,Email Open,2024-01-14 02:50:00,
7,10.0,2199.0,email_click,01-22-2024 07:16,utm=xyz
8,6.0,2365.0,web_visit,2024-01-27 12:40:00,
9,14.0,1281.0,web_visit,2024-01-08 01:16:00,tracking lost
10,7.0,3054.0,,2024-01-10 17:15:00,
11,6.0,2504.0,web-visit,30/01/2024 20:56,
12,4.0,2882.0,email_open,08/01/2024 11:50,Firefox
13,2.0,1404.0,EMAIL_CLICK,01-25-2024 13:09,tracking lost
14,2.0,3501.0,FORMFILL,01-20-2024 16:23,Firefox
15,9.0,3534.0,EMAIL_CLICK,2024-01-30 13:40:00,unknown
16,15.0,4927.0,email_open,27/01/2024 17:45,unknown
17,15.0,3220.0,,23/01/2024 03:49,Firefox
18,10.0,3647.0,email_click,2024-01-24 18:26:00,
19,1.0,2200.0,FORMFILL,21/01/2024 13:44,tracking lost
20,5.0,2871.0,FORMFILL,11/01/2024 15:10,
21,12.0,4493.0,,2024-01-24 21:00:00,
22,8.0,4984.0,web_visit,15/01/2024 17:05,unknown
23,5.0,4297.0,FORMFILL,01-01-2024 02:18,
24,15.0,1268.0,web-visit,01-15-2024 14:02,utm=xyz
25,4.0,1693.0,web-visit,15/01/2024 22:26,unknown
26,3.0,4748.0,EMAIL_CLICK,2024-01-16 01:14:00,
27,12.0,2027.0,email_click,01-03-2024 11:37,Browser: Chrome
28,3.0,4703.0,email_open,01-07-2024 08:04,Firefox
29,12.0,1660.0,FORMFILL,10/01/2024 18:38,
30,5.0,4139.0,Email Open,16/01/2024 20:40,unknown
31,7.0,4070.0,,2024-01-02 00:01:00,unknown
32,7.0,3865.0,EMAIL_CLICK,06/01/2024 19:02,unknown
33,6.0,4865.0,web-visit,25/01/2024 01:42,Firefox
34,8.0,2059.0,,13/01/2024 17:35,
35,10.0,1658.0,email_open,25/01/2024 14:52,Browser: Chrome
36,10.0,3745.0,form_fill,2024-01-01 19:11:00,Firefox
37,4.0,1102.0,web-visit,21/01/2024 06:24,utm=xyz
38,10.0,3408.0,Email Open,2024-01-30 05:45:00,tracking lost
39,15.0,2211.0,email_click,14/01/2024 14:47,
40,6.0,3444.0,EMAIL_CLICK,2024-01-20 17:18:00,tracking lost
41,14.0,4001.0,EMAIL_CLICK,08/01/2024 00:43,Firefox
42,5.0,3317.0,web-visit,2024-01-26 21:51:00,
43,11.0,2458.0,web_visit,2024-01-11 11:03:00,Firefox
44,10.0,1978.0,FORMFILL,01-07-2024 21:32,
45,3.0,3829.0,web_visit,05/01/2024 20:03,
46,11.0,3216.0,form_fill,07/01/2024 20:45,Browser: Chrome
47,4.0,1814.0,FORMFILL,20/01/2024 23:30,
48,1.0,4001.0,Email Open,01-05-2024 01:45,
49,8.0,3078.0,EMAIL_CLICK,01-07-2024 05:40,
50,7.0,3188.0,form_fill,06/01/2024 10:35,unknown
51,15.0,1801.0,email_click,30/01/2024 07:21,
52,15.0,2210.0,,19/01/2024 22:21,unknown
53,8.0,3197.0,email_open,2024-01-01 08:55:00,Firefox
54,6.0,1351.0,web_visit,01-10-2024 17:24,
55,2.0,4831.0,email_click,23/01/2024 06:46,utm=xyz
56,3.0,3951.0,Email Open,29/01/2024 17:30,Firefox
57,15.0,2110.0,FORMFILL,2024-01-26 22:38:00,
58,3.0,2942.0,EMAIL_CLICK,2024-01-02 18:43:00,
59,9.0,3493.0,email_click,01-21-2024 09:49,
60,13.0,3389.0,Email Open,01-07-2024 16:18,Firefox
61,12.0,2139.0,,2024-01-30 13:23:00,
62,15.0,1990.0,email_click,01-06-2024 23:45,
63,5.0,2156.0,web-visit,2024-01-03 00:57:00,
64,13.0,4091.0,form_fill,2024-01-14 10:34:00,utm=xyz
65,13.0,3717.0,Email Open,12/01/2024 04:57,
66,6.0,1572.0,email_open,01-16-2024 05:34,unknown
67,3.0,3333.0,web-visit,22/01/2024 18:06,
68,8.0,2460.0,EMAIL_CLICK,2024-01-22 09:00:00,
69,5.0,4160.0,,01-05-2024 15:16,
70,13.0,3879.0,web-visit,01-09-2024 07:08,
71,13.0,3679.0,form_fill,06/01/2024 12:25,
72,7.0,1814.0,EMAIL_CLICK,01-23-2024 23:14,
73,7.0,2566.0,web-visit,01-30-2024 20:27,utm=xyz
74,11.0,3012.0,form_fill,22/01/2024 14:06,unknown
75,9.0,3649.0,web-visit,26/01/2024 18:41,unknown
76,11.0,4943.0,Email Open,2024-01-28 14:47:00,Firefox
77,10.0,3010.0,form_fill,01/01/2024 08:54,Browser: Chrome
78,2.0,3897.0,web-visit,13/01/2024 15:33,utm=xyz
79,12.0,2877.0,EMAIL_CLICK,2024-01-06 21:27:00,tracking lost
80,10.0,2766.0,FORMFILL,01-16-2024 00:30,
81,15.0,2678.0,web_visit,2024-01-20 05:32:00,
82,12.0,2151.0,web_visit,01-04-2024 23:38,
83,7.0,3768.0,FORMFILL,2024-01-29 14:55:00,tracking lost
